Date		Number of Sunspots
2000		48
2000.003	51
2000.005	54
2000.008	64
2000.011	73
2000.014	85
2000.016	85
2000.019	75
2000.022	76
2000.025	65
2000.027	90
2000.03		134
2000.033	153
2000.036	164
2000.038	157
2000.041	163
2000.044	131
2000.047	120
2000.049	114
2000.052	95
2000.055	88
2000.057	84
2000.06		82
2000.063	80
2000.066	85
2000.068	77
2000.071	70
2000.074	60
2000.077	61
2000.079	51
2000.082	58
2000.085	71
2000.088	64
2000.09		81
2000.093	99
2000.096	104
2000.099	136
2000.101	130
2000.104	128
2000.107	109
2000.109	122
2000.112	114
2000.115	113
2000.118	108
2000.12		119
2000.123	118
2000.126	131
2000.129	109
2000.131	104
2000.134	89
2000.137	76
2000.14		92
2000.142	100
2000.145	95
2000.148	123
2000.151	131
2000.153	144
2000.156	150
2000.159	151
2000.161	162
2000.164	138
2000.167	130
2000.17		114
2000.172	113
2000.175	113
2000.178	129
2000.181	155
2000.183	145
2000.186	146
2000.189	137
2000.192	127
2000.194	122
2000.197	121
2000.2		115
2000.203	103
2000.205	100
2000.208	95
2000.211	101
2000.214	126
2000.216	150
2000.219	148
2000.222	156
2000.224	182
2000.227	188
2000.23		185
2000.233	170
2000.235	155
2000.238	169
2000.241	148
2000.244	148
2000.246	164
2000.249	187
2000.252	193
2000.255	177
2000.257	164
2000.26		129
2000.263	108
2000.266	94
2000.268	100
2000.271	108
2000.274	102
2000.276	96
2000.279	113
2000.282	118
2000.285	114
2000.287	105
2000.29		98
2000.293	110
2000.296	94
2000.298	103
2000.301	121
2000.304	128
2000.307	145
2000.309	170
2000.312	160
2000.315	151
2000.318	136
2000.32		118
2000.323	124
2000.326	100
2000.328	100
2000.331	91
2000.334	80
2000.337	76
2000.339	71
2000.342	71
2000.345	42
2000.348	52
2000.35		64
2000.353	99
2000.356	120
2000.359	133
2000.361	133
2000.364	161
2000.367	193
2000.37		205
2000.372	189
2000.375	170
2000.378	161
2000.381	167
2000.383	180
2000.386	163
2000.389	143
2000.391	132
2000.394	134
2000.397	115
2000.4		117
2000.402	106
2000.405	124
2000.408	117
2000.411	93
2000.413	67
2000.416	85
2000.419	79
2000.422	75
2000.424	101
2000.427	95
2000.43		99
2000.433	105
2000.435	120
2000.438	122
2000.441	119
2000.443	151
2000.446	147
2000.449	156
2000.452	171
2000.454	158
2000.457	142
2000.46		139
2000.463	147
2000.465	145
2000.468	159
2000.471	147
2000.474	127
2000.476	124
2000.479	119
2000.482	111
2000.485	129
2000.487	138
2000.49		115
2000.493	109
2000.496	114
2000.498	145
2000.501	141
2000.504	124
2000.506	114
2000.509	127
2000.512	154
2000.515	177
2000.517	177
2000.52		179
2000.523	215
2000.526	202
2000.528	186
2000.531	194
2000.534	164
2000.537	148
2000.539	197
2000.542	224
2000.545	228
2000.548	246
2000.55		241
2000.553	231
2000.556	216
2000.558	199
2000.561	171
2000.564	177
2000.567	133
2000.569	126
2000.572	120
2000.575	113
2000.578	112
2000.58		93
2000.583	106
2000.586	110
2000.589	107
2000.591	110
2000.594	144
2000.597	143
2000.6		164
2000.602	140
2000.605	128
2000.608	154
2000.611	165
2000.613	170
2000.616	176
2000.619	204
2000.621	183
2000.624	178
2000.627	152
2000.63		140
2000.632	133
2000.635	106
2000.638	77
2000.641	67
2000.643	67
2000.646	77
2000.649	81
2000.652	79
2000.654	113
2000.657	132
2000.66		138
2000.663	144
2000.665	157
2000.668	142
2000.671	118
2000.673	128
2000.676	134
2000.679	114
2000.682	114
2000.684	110
2000.687	85
2000.69		63
2000.693	42
2000.695	26
2000.698	35
2000.701	55
2000.704	60
2000.706	77
2000.709	85
2000.712	108
2000.715	112
2000.717	121
2000.72		124
2000.723	137
2000.726	142
2000.728	160
2000.731	163
2000.734	153
2000.736	161
2000.739	162
2000.742	142
2000.745	119
2000.747	100
2000.75		115
2000.753	164
2000.756	159
2000.758	150
2000.761	128
2000.764	97
2000.767	71
2000.769	72
2000.772	71
2000.775	57
2000.778	82
2000.78		122
2000.783	121
2000.786	104
2000.788	89
2000.791	92
2000.794	97
2000.797	95
2000.799	90
2000.802	94
2000.805	97
2000.808	89
2000.81		85
2000.813	82
2000.816	88
2000.819	73
2000.821	80
2000.824	106
2000.827	113
2000.83		108
2000.832	111
2000.835	135
2000.838	147
2000.841	141
2000.843	130
2000.846	133
2000.849	108
2000.851	122
2000.854	127
2000.857	95
2000.86		101
2000.862	90
2000.865	72
2000.868	70
2000.871	84
2000.873	98
2000.876	95
2000.879	94
2000.882	116
2000.884	125
2000.887	110
2000.89		120
2000.893	113
2000.895	91
2000.898	98
2000.901	74
2000.903	59
2000.906	79
2000.909	106
2000.912	123
2000.914	138
2000.917	124
2000.92		109
2000.923	128
2000.925	66
2000.928	65
2000.931	63
2000.934	68
2000.936	61
2000.939	58
2000.942	62
2000.945	72
2000.947	89
2000.95		114
2000.953	135
2000.956	153
2000.958	145
2000.961	151
2000.964	138
2000.966	118
2000.969	120
2000.972	116
2000.975	107
2000.977	102
2000.98		115
2000.983	108
2000.986	121
2000.988	118
2000.991	118
2000.994	99
2000.997	111
2000.999	87
